S.No,Symbol
880,HINDCOMPOS.NS
881,HINDCON.NS
882,HINDCOPPER.NS
883,HINDOILEXP.NS
884,HINDPETRO.NS
885,HINDUNILVR.NS
886,HINDWAREAP.NS
887,HINDZINC.NS
888,HIRECT.NS
889,HISARMETAL.NS
890,HITECH.NS
891,HITECHCORP.NS
892,HITECHGEAR.NS
893,HLEGLAS.NS
894,HLVLTD.NS
895,HMAAGRO.NS
896,HMT.NS
897,HMVL.NS
898,HNDFDS.NS
899,HOMEFIRST.NS
900,HONASA.NS
901,HONAUT.NS
902,HONDAPOWER.NS
903,HPAL.NS
904,HPIL.NS
905,HPL.NS
906,HSCL.NS
907,HTMEDIA.NS
908,HUBTOWN.NS
909,HUDCO.NS
910,HUHTAMAKI.NS
911,HYBRIDFIN.NS
912,HYUNDAI.NS
913,IBULLSLTD.NS
914,ICDSLTD.NS
915,ICEMAKE.NS
916,ICICIAMC.NS
917,ICICIBANK.NS
918,ICICIGI.NS
919,ICICIPRULI.NS
920,ICIL.NS
921,ICRA.NS
922,IDBI.NS
923,IDEA.NS
924,IDEAFORGE.NS
925,IDFCFIRSTB.NS
926,IEX.NS
927,IFBAGRO.NS
928,IFBIND.NS
929,IFCI.NS
930,IFGLEXPOR.NS
931,IGARASHI.NS
932,IGCL.NS
933,IGIL.NS
934,IGL.NS
935,IGPL.NS
936,IIFL.NS
937,IIFLCAPS.NS
938,IITL.NS
939,IKIO.NS
940,IKS.NS
941,IL&FSENGG.NS
942,IL&FSTRANS.NS
943,IMAGICAA.NS
944,IMFA.NS
945,IMPAL.NS
946,INA.NS
947,INCREDIBLE.NS
948,INDBANK.NS
949,INDGN.NS
950,INDHOTEL.NS
951,INDIACEM.NS
952,INDIAGLYCO.NS
953,INDIAMART.NS
954,INDIANB.NS
955,INDIANCARD.NS
956,INDIANHUME.NS
957,INDIASHLTR.NS
958,INDIGO.NS
959,INDIGOPNTS.NS
960,INDIQUBE.NS
961,INDNIPPON.NS
962,INDOAMIN.NS
963,INDOBORAX.NS
964,INDOCO.NS
965,INDOFARM.NS
966,INDORAMA.NS
967,INDOSTAR.NS
968,INDOTECH.NS
969,INDOTHAI.NS
970,INDOUS.NS
971,INDOWIND.NS
972,INDPRUD.NS
973,INDRAMEDCO.NS
974,INDSWFTLAB.NS
975,INDTERRAIN.NS
976,INDUSINDBK.NS
977,INDUSTOWER.NS
978,INFOBEAN.NS
979,INFOMEDIA.NS
980,INFY.NS
981,INGERRAND.NS
982,INNOVACAP.NS
983,INNOVANA.NS
984,INNOVISION.NS
985,INOXGREEN.NS
986,INOXINDIA.NS
987,INOXWIND.NS
988,INSECTICID.NS
989,INSPIRISYS.NS
990,INTELLECT.NS
991,INTENTECH.NS
992,INTERARCH.NS
993,INTLCONV.NS
994,INVENTURE.NS
995,INVPRECQ.NS
996,IOB.NS
997,IOC.NS
998,IOLCP.NS
999,IONEXCHANG.NS
1000,IPCALAB.NS
1001,IPL.NS
1002,IRB.NS
1003,IRCON.NS
1004,IRCTC.NS
1005,IREDA.NS
1006,IRFC.NS
1007,IRIS.NS
1008,IRISDOREME.NS
1009,IRMENERGY.NS
1010,ISFT.NS
1011,ISGEC.NS
1012,ISHANCH.NS
1013,ITC.NS
1014,ITCHOTELS.NS
1015,ITDC.NS
1016,ITI.NS
1017,IVALUE.NS
1018,IVC.NS
1019,IVP.NS
1020,IWP.NS
1021,IXIGO.NS
1022,IZMO.NS
1023,J&KBANK.NS
1024,JAGRAN.NS
1025,JAGSNPHARM.NS
1026,JAIBALAJI.NS
1027,JAICORPLTD.NS
1028,JAINREC.NS
1029,JAIPURKURT.NS
1030,JAMNAAUTO.NS
1031,JARO.NS
1032,JASH.NS
1033,JAYAGROGN.NS
1034,JAYBARMARU.NS
1035,JAYKAY.NS
1036,JAYNECOIND.NS
1037,JAYSREETEA.NS
1039,JBMA.NS
1040,JETFREIGHT.NS
1041,JGCHEM.NS
1042,JHS.NS
1043,JINDALPHOT.NS
1044,JINDALPOLY.NS
1045,JINDALSAW.NS
1046,JINDALSTEL.NS
1047,JINDRILL.NS
1048,JINDWORLD.NS
1049,JIOFIN.NS
1050,JISLDVREQS.NS
1051,JISLJALEQS.NS
1052,JITFINFRA.NS
1053,JKCEMENT.NS
1054,JKIL.NS
1055,JKIPL.NS
1056,JKLAKSHMI.NS
1057,JKPAPER.NS
1058,JKTYRE.NS
1059,JLHL.NS
1060,JMA.NS
1061,JMFINANCIL.NS
1062,JNKINDIA.NS
1063,JOCIL.NS
1064,JPOLYINVST.NS
1065,JPPOWER.NS
1066,JSFB.NS
1067,JSL.NS
1068,JSLL.NS
1069,JSWCEMENT.NS
1070,JSWDULUX.NS
1071,JSWENERGY.NS
1072,JSWHL.NS
1073,JSWINFRA.NS
1074,JSWSTEEL.NS
1075,JTEKTINDIA.NS
1076,JTLIND.NS
1077,JUBLCPL.NS
1078,JUBLFOOD.NS
1079,JUBLINGREA.NS
1080,JUBLPHARMA.NS
1081,JUNIPER.NS
1082,JUSTDIAL.NS
1083,JWL.NS
1084,JYOTHYLAB.NS
1085,JYOTICNC.NS
1086,JYOTISTRUC.NS
1087,KABRAEXTRU.NS
1088,KAJARIACER.NS
1089,KAKATCEM.NS
1090,KALAMANDIR.NS
1091,KALPATARU.NS
1093,KALYANIFRG.NS
1094,KALYANKJIL.NS
1095,KAMAHOLD.NS
1096,KAMATHOTEL.NS
1097,KAMDHENU.NS
1098,KAMOPAINTS.NS
1099,KANANIIND.NS
1100,KANCHI.NS
1101,KANORICHEM.NS
1102,KANPRPLA.NS
1103,KANSAINER.NS
1104,KAPSTON.NS
1105,KARMAENG.NS
1106,KARURVYSYA.NS
1107,KAUSHALYA.NS
1108,KAVDEFENCE.NS
1109,KAYA.NS
1110,KAYNES.NS
1111,KCP.NS
1112,KCPSUGIND.NS
1113,KDDL.NS
1114,KEC.NS
1115,KECL.NS
1116,KEEPLEARN.NS
1117,KEI.NS
1118,KELLTONTEC.NS
1119,KENNAMET.NS
1120,KERNEX.NS
1121,KESORAMIND.NS
1122,KEYFINSERV.NS
1123,KFINTECH.NS
1124,KHADIM.NS
1125,KHAICHEM.NS
1126,KHAITANLTD.NS
1127,KHANDSE.NS
1128,KICL.NS
1129,KILITCH.NS
1130,KIMS.NS
1131,KINGFA.NS
1132,KIOCL.NS
1133,KIRANVYPAR.NS
1134,KIRIINDUS.NS
1135,KIRLFER.NS
1136,KIRLOSBROS.NS
1137,KIRLOSENG.NS
